variant,source,f_revised,progress,comment
oil,palm | soybean | sunflower | groundnut,lipid base,todo,
snf,milk,processed_ingredient,todo,
soy,soybean,raw_agricultural_material,todo,
tvp,soybean,processed_ingredient,todo,
oat,oat,raw_agricultural_material,todo,
wpc,milk,processed_ingredient,todo,
dha,algae | fish,lipid base,todo,
egg,egg,raw_agricultural_material,todo,
hvp,soybean,processed_ingredient,todo,
tea,tea,flavouring agent,todo,
fig,fig,raw_agricultural_material,todo,
bht,synthetic,antioxidant|preservative,todo,
fos,sugarcane | chicory,sweetener|bulking agent,todo,
rye,rye,raw_agricultural_material,todo,
tvp,soybean,processed_ingredient,done,"duplicate of row 3"
palm,palm,raw_agricultural_material,todo,
oils,palm | soybean | sunflower | groundnut,lipid base,todo,
salt,mineral,raw_agricultural_material,todo,
sait,mineral,raw_agricultural_material,todo,
salz,mineral,raw_agricultural_material,todo,
date,date,raw_agricultural_material,todo,
milk,milk,raw_agricultural_material,done,
milk,milk,raw_agricultural_material,done,"duplicate of row 21"
ragi,ragi,raw_agricultural_material,todo,
mint,mint,taste profile / spice,todo,
soya,soybean,raw_agricultural_material,todo,
urad,urad,raw_agricultural_material,todo,
zinc,mineral,raw_agricultural_material,todo,
oats,oats,raw_agricultural_material,todo,
hing,asafoetida,taste profile / spice,todo,
peas,peas,raw_agricultural_material,todo,
milk,milk,raw_agricultural_material,done,"duplicate of row 21"
whey,milk,processed_ingredient,todo,
amra,hog plum,raw_agricultural_material,todo,
พริก,chili,taste profile / spice,todo,
curd,milk,processed_ingredient,todo,
dahi,milk,processed_ingredient,todo,
ghee,milk,lipid base,todo,
lime,lime,flavouring agent,todo,
mace,mace,taste profile / spice,todo,
monk,monk fruit,sweetener,todo,
okra,okra,raw_agricultural_material,todo,
plum,plum,raw_agricultural_material,todo,
rice,rice,raw_agricultural_material,todo,
paua,abalone,raw_agricultural_material,todo,
poha,rice,raw_agricultural_material,todo,
sago,sago,processed_ingredient,todo,
rava,wheat,raw_agricultural_material,todo,
salt,mineral,raw_agricultural_material,done,"duplicate of row 17"
tbhq,synthetic,antioxidant|preservative,todo,
atta,wheat,raw_agricultural_material,todo,
figs,fig,raw_agricultural_material,todo,
balm,balm,taste profile / spice,todo,
bran,wheat,processed_ingredient,todo,
kale,kale,raw_agricultural_material,todo,
khoa,milk,processed_ingredient,todo,
carot,carrot,raw_agricultural_material,todo,
cream,milk,lipid base,todo,
dates,date,raw_agricultural_material,todo,
maida,wheat,raw_agricultural_material,todo,
mango,mango,raw_agricultural_material,todo,
dairy,milk,raw_agricultural_material,todo,
khoya,milk,processed_ingredient,todo,
bajra,pearl millet,raw_agricultural_material,todo,
jowar,sorghum,raw_agricultural_material,todo,
pista,pistachio,raw_agricultural_material,todo,
sugar,sugarcane,sweetener,todo,
sucre,sugarcane,sweetener,todo,
đường,sugarcane,sweetener,todo,
kakvi,sugarcane,sweetener,todo,
wafer,wheat,raw_agricultural_material,todo,
wheat,wheat,raw_agricultural_material,todo,
kesar,saffron,colour,todo,
mater,peas,raw_agricultural_material,todo,
yeast,yeast,raising agent,todo,
apple,apple,raw_agricultural_material,todo,
basil,basil,taste profile / spice,todo,
